duration,fpackets,bpackets,fbytes,bbytes,label,id
116.1867489815,21,25,1894,8626,16202,176
7417.9103820324,1480,3569,184434,3434965,16202,177
1.7741889954,20,25,27964,13740,14202,178
0.838517189,10,9,2469,5796,14202,179
63.712211132,11,9,2368,5414,14202,180
90.6252529621,418,658,1243472,237500,14202,181
3.3415722847,24,41,22499,37997,14202,182
0.8580300808,9,9,6095,4970,14202,183
0.8480043411,10,9,2469,5796,14202,184
12105.1163232327,2358,5490,284999,5197273,16202,185
7445.7726800442,1502,3609,186307,3466873,16202,186
11136.5651068687,3455,4525,1358056,1235412,16202,187
116.1572117805,85,135,6543,159969,16202,188
1715.3004698753,577,1884,44402,2226329,16202,189
1.3484370708,14,32,4280,16144,14202,190
1.0806429386,9,8,2415,4894,14202,191
1.2195909023,10,5,1856,3356,14202,192
0.898911953,9,9,2415,4954,14202,193
0.9500846863,9,8,2415,4894,14202,194
10.2944788933,7,6,753,4278,14202,195
10.2939939499,10,7,1544,5121,14202,196
10.2909491062,11,9,1767,5566,14202,197
0.5739448071,8,7,2542,4684,14202,198
7.3122489452,14,27,1719,27062,16202,199
7.3222880363,9,10,1433,2644,16202,200
20.7364649773,253,668,20295,906875,16202,201
7.3268041611,14,29,1593,29414,16202,202
66.5326619148,25,38,2912,18400,13202,203
7.3268232346,9,9,1472,1811,16202,204
120.6342346668,93,264,7829,318582,16202,205
182.4362220764,23,24,2838,6209,16202,206
116.1602101326,88,158,6601,191361,16202,207
116.1553628445,76,238,7090,282802,16202,208
116.1551680565,78,228,7331,270552,16202,209
116.1631960869,30,45,2659,36813,16202,210
7.4095170498,15,30,2223,28716,16202,211
116.5072028637,928,2471,57264,3469855,18202,212
3680.7210609913,1454,4452,109093,5333643,16202,213
1.0461270809,11,10,4738,6291,14202,214
63.5530769825,7,7,1342,4368,14202,215
0.8711290359,9,8,2575,4894,14202,216
1.064037323,9,5,1802,3356,14202,217
0.8340041637,9,8,2575,4894,14202,218
50.4112799168,19,5,1254,318,16202,219
95.5529048443,17,12,1470,3936,16202,220
8746.0520632267,2511,3098,809035,657163,16202,221
0.8083369732,10,9,2629,5796,14202,222
66.7317707539,11,9,2368,5414,14202,223
2.958272934,19,24,18581,16641,14202,224
77.3566749096,75,134,285518,31474,14202,225
1.0430099964,9,8,2655,4910,14202,226
7.3450188637,9,8,2655,4910,14202,227
34232.0301530361,10028,12155,3262473,2618403,16202,228
0.6900868416,8,6,1099,4325,14202,229
1.025233984,9,8,2655,4910,14202,230
0.992784977,10,5,1856,3356,14202,231
1.0547459126,9,8,2655,4910,14202,232
1.0506517887,9,8,2655,4910,14202,233
54030.7112617493,17306,24562,7432671,6903943,16202,234
14.7480819225,195,533,16080,718509,16202,235
7.3136692047,24,30,2357,30097,16202,236
118.5599060059,92,270,7819,327609,16202,237
118.4132239819,86,259,7421,318275,16202,238
182.597244978,24,25,2865,6251,16202,239
116.2851138115,79,246,6331,301920,16202,240
116.2876307964,70,114,5549,131356,16202,241
116.2838599682,64,179,6087,209160,16202,242
7.4044082165,16,30,2305,28719,16202,243
116.598154068,775,2746,47858,3844601,18202,244
7.5533902645,21,58,1850,69590,16202,245
7.6394510269,20,55,2033,65811,16202,246
1.0834608078,9,9,2415,4954,14202,247
7.6730258465,19,49,1979,57189,16202,248
8020.8275089264,4578,15872,352620,19507333,16202,249
7.680284977,31,45,2546,52163,16202,250
526.2103688717,251,938,19871,1123491,16202,251
0.8526310921,9,8,2415,4894,14202,252
0.8564710617,10,9,2469,5812,14202,253
0.8393502235,9,8,2415,4894,14202,254
1.0199520588,12,17,5676,15356,14202,255
0.8306999207,10,9,2469,5812,14202,256
0.9826281071,9,5,1802,3356,14202,257
